-1926.62 -2008.53 -1805.27 -2051.47
-1963.74 -1955.21 -1828.88 -1940.89
-1899.93 -1977.03 -1779.48 -2036.03
-1165.23 -1148.10 -1192.69 -1141.53
-1165.23 -1148.10 -1192.69 -1141.53
-1972.17 -1959.19 -1837.20 -1949.11
-1920.38 -1885.66 -1926.34 -1875.26
-1949.22 -1919.71 -1817.49 -1908.30
-1973.99 -1958.68 -1837.84 -1948.13
-1830.41 -1891.77 -1726.77 -2024.74
-1879.21 -2037.40 -1758.23 -1932.54
-1854.88 -2024.85 -1741.25 -1912.85
-1815.84 -1982.29 -1700.28 -1863.60
-1858.36 -1814.51 -1928.59 -1804.78
-1826.08 -1886.34 -1724.53 -2021.41
-1896.72 -2026.06 -1775.17 -1969.26
