-17.72 -126.76 -29.44 -63.89 -44.77 -496.09 -213.81 -47.78 -30.02 -2077.76 -349.54 -16.67 -31.17 -238.17 -18.76 -15.49 0.21 -0.28 -0.17 -0.33 0.87 -0.47 -0.86 -0.43 -1.29 -0.51 -0.62 -0.69 -0.50 -0.05 0.77 -2.88 -0.35 -0.41 -0.52 -0.13 -0.34 -4.02 -0.04
-21.68 -129.38 -33.24 -66.62 -44.27 -496.70 -210.15 -49.58 -34.15 -2075.19 -350.53 -17.01 -31.19 -235.71 -21.37 -19.47 0.20 -0.28 -0.14 -0.41 0.91 -0.38 -0.85 -0.39 -1.27 -0.53 -0.63 -0.67 -0.44 -0.24 0.78 -2.95 -0.37 -0.41 -0.47 -0.12 -0.41 -4.02 -0.09
-19.10 -121.94 -25.53 -65.26 -42.82 -483.68 -210.21 -46.73 -23.33 -2106.51 -344.30 -12.76 -28.64 -224.92 -20.99 -11.87 0.21 -0.51 -0.24 -0.64 0.01 -0.56 -0.45 -0.49 -1.29 -0.14 -0.49 -0.68 -0.29 -0.32 0.77 -2.88 -0.31 -0.34 -0.41 -0.04 -0.58 -4.03 -0.08
-19.11 -125.47 -25.53 -68.14 -43.11 -482.77 -212.00 -48.79 -23.33 -2078.49 -339.59 -12.77 -28.59 -228.74 -23.94 -11.89 -0.10 -0.67 -0.29 -0.54 -0.30 -0.58 -0.47 -0.39 -0.71 -0.17 -0.51 -0.69 -0.25 -0.34 0.78 -2.92 -0.44 -0.37 -0.23 -0.06 -0.56 -4.04 -0.01
-23.09 -120.15 -29.76 -69.59 -45.48 -491.81 -212.99 -50.60 -27.35 -2087.74 -353.89 -14.08 -28.67 -220.64 -23.41 -15.49 0.21 -0.54 -0.32 -0.66 -0.07 -0.70 -0.46 -0.61 -1.34 -0.26 -0.51 -0.73 -0.39 -0.31 0.90 -3.00 -0.24 -0.44 -0.56 -0.05 -0.63 -4.03 -0.21
-15.34 -136.59 -22.90 -61.75 -42.65 -462.52 -206.70 -52.38 -23.70 -2082.57 -358.00 -7.96 -33.98 -223.84 -17.39 -11.68 0.25 -0.41 -0.14 -0.24 0.20 -0.47 -0.49 -0.40 -0.68 -0.22 -0.16 -0.55 -0.11 -0.35 0.96 -7.30 -0.30 -0.39 -0.40 -0.18 -0.59 -4.01 -0.27
-16.80 -142.55 -21.39 -59.95 -44.61 -468.00 -217.01 -53.46 -25.17 -2073.32 -361.23 -15.18 -41.73 -232.00 -15.93 -13.86 0.31 -0.37 -0.15 -0.36 0.24 -0.51 -0.57 -0.32 -0.70 -0.18 -0.13 -0.65 -0.14 -0.32 0.90 -7.32 -0.38 -0.41 -0.38 -0.14 -0.61 -3.96 -0.22
-17.12 -135.58 -22.72 -67.35 -51.59 -458.37 -209.06 -60.34 -23.64 -2085.39 -364.02 -13.90 -39.60 -221.45 -17.53 -12.08 0.05 -0.50 -0.15 -0.24 0.27 0.03 -0.53 -0.33 -0.67 -0.45 -0.30 -0.52 -0.12 -0.30 0.91 -7.32 -0.32 -0.40 -0.45 -0.19 -0.48 -4.11 -0.28
-15.14 -115.52 -21.82 -59.26 -43.64 -457.70 -198.69 -52.63 -23.93 -2053.59 -352.00 -6.79 -34.59 -211.73 -17.99 -11.67 -0.06 -0.25 -0.11 -0.25 0.10 -0.23 -0.60 -0.37 -0.76 -0.12 -0.45 -0.72 -0.32 -0.26 0.28 -6.19 -0.08 -0.41 -0.44 -0.17 -0.43 -4.13 -0.32
-18.66 -133.47 -23.25 -70.55 -45.65 -453.61 -210.66 -70.00 -27.79 -2065.56 -369.56 -13.88 -39.49 -220.28 -22.96 -13.62 0.28 -0.46 0.51 -0.17 0.20 -0.34 -0.40 -0.34 -0.59 -0.40 -0.06 -0.57 -0.01 -0.22 0.72 -7.29 -0.40 -0.35 -0.15 -0.15 -0.59 -4.01 -0.43
