-2117.37 -2065.64 -1737.76 -2215.78
-2102.88 -2089.35 -1740.38 -2196.51
-2102.88 -2089.35 -1740.38 -2196.51
-2152.78 -2029.14 -1713.53 -2182.63
-2111.27 -2090.40 -1755.73 -2206.70
-2111.27 -2090.40 -1755.73 -2206.70
-2121.47 -2031.04 -1714.63 -2186.55
-2101.81 -2081.05 -1756.72 -2195.99
-2151.75 -2030.54 -1714.44 -2184.54
-2143.34 -2033.03 -1716.04 -2179.40
-2092.75 -2072.77 -1753.17 -2185.10
-2092.75 -2072.77 -1753.17 -2185.10
-2092.75 -2072.77 -1753.17 -2185.10
-2149.02 -2029.69 -1713.30 -2181.30
-2156.56 -2035.33 -1717.54 -2189.61
-2154.44 -2035.05 -1715.30 -2191.76
-2087.41 -2033.49 -1716.17 -2184.03
-2135.96 -2043.34 -1722.95 -2201.74
-2091.29 -2040.82 -1721.82 -2190.14
-2093.12 -2093.17 -1742.74 -2184.79
-2097.54 -2092.55 -1743.11 -2189.23
-2089.19 -2093.40 -1743.42 -2179.84
-2095.11 -2095.32 -1744.18 -2187.12
-2151.71 -2057.11 -1732.24 -2218.61
